Rank,Team,Score
1,Germany,1544.00.00
2,Brazil,1384.00.00
3,Belgium,1346.00.00
4,Portugal,1306.00.00
5,Argentina,1254.00.00
6,Switzerland,1179.00.00
7,France,1166.00.00
8,Spain,1162.00.00
9,Chile,1146.00.00
10,Poland,1128.00.00
11,Peru,1106.00.00
12,Denmark,1054.00.00
13,England,1040.00.00
14,Tunisia,1012.00.00
15,Mexico,1008.00.00
16,Colombia,989.00.00
17,Uruguay,976.00.00
18,Croatia,975.00.00
19,Netherlands,969.00.00
20,Italy,947.00.00
21,Wales,931.00.00
22,Iceland,930.00.00
23,Sweden,889.00.00
24,United States,880.00.00
25,Costa Rica,858.00.00
26,Austria,841.00.00
27,Northern Ireland,837.00.00
28,Senegal,825.00.00
29,Slovakia,786.00.00
30,Ukraine,777.00.00
31,Republic of Ireland,776.00.00
32,Romania,737.00.00
33,Paraguay,737.00.00
34,Scotland,735.00.00
35,Serbia,732.00.00
36,Iran,727.00.00
37,Turkey,714.00.00
38,Congo DR,711.00.00
39,Venezuela,709.00.00
40,Australia,700.00.00
41,Bosnia-Herzegovina,688.00.00
42,Morocco,681.00.00
43,Montenegro,671.00.00
44,Greece,657.00.00
45,Czech Republic,647.00.00
46,Egypt,636.00.00
47,Nigeria,635.00.00
48,Norway,608.00.00
49,Hungary,604.00.00
50,Cameroon,603.00.00
51,Ghana,603.00.00
52,Jamaica,587.00.00
53,Bulgaria,583.00.00
54,Burkina Faso,582.00.00
55,Panama,574.00.00
56,Albania,549.00.00
57,Bolivia,548.00.00
58,Cabo Verde,545.00.00
59,Honduras,530.00.00
60,Japan,528.00.00
61,South Korea,520.00.00
62,Finland,507.00.00
63,Ecuador,506.00.00
64,Algeria,499.00.00
65,Slovenia,495.00.00
66,Russia,493.00.00
67,Mali,462.00.00
68,Saudi Arabia,462.00.00
69,Côte d'Ivoire,458.00.00
70,Guinea,450.00.00
71,Curaçao,439.00.00
72,South Africa,432.00.00
73,China PR,431.00.00
74,Uganda,426.00.00
75,Kyrgyz Republic,424.00.00
76,Syria,423.00.00
77,North Macedonia,422.00.00
78,Zambia,412.00.00
79,Belarus,410.00.00
80,Canada,407.00.00
81,UAE,405.00.00
82,Lebanon,404.00.00
83,Luxembourg,401.00.00
84,Benin,397.00.00
85,El Salvador,392.00.00
86,Cyprus,386.00.00
87,Oman,383.00.00
88,Uzbekistan,381.00.00
89,Congo,378.00.00
90,Gabon,374.00.00
